"(m,n)",Delta,k,C_k,mu_k,alpha_k,alpha_g,p,|Z_U|
"(0,1)",1,0,0.5,0.4472,0.5774,1.0,0.5,1.1e-15
"(0,2)",2,0,0.25,0.2425,1.6807,2.1094,0.5,6.1e-17
"(0,2)",2,1,0.75,0.6,0.9444,2.1094,0.5,1.8e-16
"(0,3)",3,0,0.1667,0.1644,2.8433,3.2756,0.5,3.2e-15
"(0,3)",3,1,0.5,0.4472,2.1094,3.2756,0.5,2.1e-15
"(0,3)",3,2,0.8333,0.6402,1.3628,3.2756,0.5,2.1e-15
"(1,2)",1,0,0.5,0.4472,0.4095,0.7221,0.5,5.7e-15
"(1,3)",2,0,0.25,0.2425,1.3763,1.8,0.5,2.7e-15
"(1,3)",2,1,0.75,0.6,0.7265,1.8,0.5,6.6e-14
"(1,4)",3,0,0.1667,0.1644,2.5872,3.0354,0.5,3.2e-15
"(1,4)",3,1,0.5,0.4472,1.8378,3.0354,0.5,4.9e-15
"(1,4)",3,2,0.8333,0.6402,1.1224,3.0354,0.5,2.4e-15
"(2,4)",2,0,0.25,0.2425,1.1867,1.5829,0.5,2.7e-15
"(2,4)",2,1,0.75,0.6,0.613,1.5829,0.5,3.5e-16
