familia,"(m,n)",alpha,beta,mu,s,C,delta_s,Phi_int/pi,err_cerr,V_s,C(V_s),Phi_int_log/pi,Phi_U_log/pi
corre,"(0,2)",0.5,0.9,0.45,A,0.722255,1.048868,0.90205,1.8e-15,0.975883,0.722255,-0.557816,-0.15513
corre,"(0,2)",0.5,0.9,0.45,B,0.722255,1.292303,0.857685,5.8e-15,0.717177,0.722255,-0.96097,-0.272663
corre,"(0,2)",0.5,0.9,0.7071,A,0.89061,0.119048,0.960433,4.4e-16,0.795641,0.89061,-0.164969,0.018419
corre,"(0,2)",0.5,0.9,0.7071,B,0.89061,0.230452,0.653948,1.8e-14,0.467675,0.89061,-0.788186,0.03693
corre,"(0,2)",1.1,0.8,0.6,A,0.748027,0.80986,0.798461,4.4e-15,0.718294,0.748027,-0.115843,0.49867
corre,"(0,2)",1.1,0.8,0.6,B,0.748027,0.69918,-0.805716,1.0e-14,0.703984,0.748027,0.110408,-0.503426
corre,"(1,3)",1.3,0.7,0.45,A,0.52567,1.10577,-0.716414,1.8e-14,0.945991,0.52567,-0.221903,0.985582
corre,"(1,3)",1.3,0.7,0.45,B,0.52567,0.924524,-0.183729,5.2e-15,0.970761,0.52567,0.510022,-0.945009
corre,"(2,4)",0.8,1.6,0.35,A,0.337252,1.013601,0.869759,1.2e-14,0.999586,0.337252,0.284143,0.86994
corre,"(2,4)",0.8,1.6,0.35,B,0.337252,1.196721,0.37828,4.0e-14,0.947913,0.337252,-0.609622,-0.921885
cross,"(0,2)",1.1,0.8,0.6,A,0.557429,0.707826,-0.523807,1.2e-14,0.842962,0.557429,-0.63998,0.889188
cross,"(0,2)",1.1,0.8,0.6,B,0.557429,0.142379,0.332177,5.3e-15,0.900542,0.557429,0.63998,-0.889188
cross,"(0,3)",1.5,1.2,0.5,A,0.597215,1.319035,0.327752,3.1e-14,0.840438,0.597215,-0.894772,0.986228
cross,"(0,3)",1.5,1.2,0.5,B,0.597215,-0.568687,0.548426,1.2e-14,0.968293,0.597215,0.894772,-0.986228
cross,"(0,1)",0.9,0.9,0.7071,A,0.381679,0.334482,-0.699892,4.0e-15,0.944275,0.381679,0.319892,0.247758
cross,"(0,1)",0.9,0.9,0.7071,B,0.381679,0.334482,-0.699892,1.8e-15,0.944275,0.381679,-0.319892,-0.247758
